,Date,Cases,Deaths,Recovered,Travel_history,Province,City
0,2/26/2020,1,0,0,China,Islamabad Capital Territory,Islamabad
1,2/26/2020,2,0,0,Iran/Taftan,Sindh,Karachi
2,2/29/2020,1,0,0,China,Islamabad Capital Territory,Islamabad
3,2/29/2020,1,0,0,Iran/Taftan,Sindh,Karachi
4,3/2/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit
5,3/6/2020,0,0,1,Unknown,Sindh,Karachi
6,3/7/2020,1,0,0,Iran/Taftan,Sindh,Karachi
7,3/9/2020,6,0,0,Syria,Sindh,Karachi
8,3/9/2020,3,0,0,UK,Sindh,Karachi
9,3/10/2020,1,0,0,Iran/Taftan,Sindh,Karachi
10,3/10/2020,1,0,0,Syria,Sindh,Hyderabad
11,3/10/2020,1,0,0,Iran/Taftan,Baluchistan,Quetta
12,3/11/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu
13,3/11/2020,0,0,1,Iran/Taftan,Sindh,Karachi
14,3/12/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit
15,3/13/2020,1,0,0,USA,Islamabad Capital Territory,Islamabad
16,3/13/2020,1,0,1,Local - Social Contact,Sindh,Karachi
17,3/13/2020,7,0,0,Iran/Taftan,Baluchistan,Taftan
18,3/15/2020,13,0,0,Iran/Taftan,Sindh,Sukkur
19,3/15/2020,4,0,0,Iran/Taftan,Sindh,Karachi
20,3/15/2020,1,0,0,UK,Punjab,Lahore
21,3/15/2020,15,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
22,3/15/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Mardan
23,3/16/2020,119,0,0,Iran/Taftan,Sindh,Sukkur
24,3/16/2020,26,0,0,Iran/Taftan,Sindh,Karachi
25,3/16/2020,2,0,0,Iran/Taftan,Sindh,Hyderabad
26,3/16/2020,1,0,0,Unknown,Punjab,Lahore
27,3/16/2020,1,0,1,Unknown,Islamabad Capital Territory,Islamabad
28,3/16/2020,1,0,0,Unknown,khyber Pakhtunkhwa,Mansehra
29,3/16/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Mardan
30,3/17/2020,15,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
31,3/17/2020,24,0,0,Iran/Taftan,Sindh,Sukkur
32,3/17/2020,5,0,0,KSA,Sindh,Karachi
33,3/17/2020,3,0,0,Unknown,Punjab,Lahore
34,3/17/2020,1,0,0,Unknown,khyber Pakhtunkhwa,Peshawar
35,3/17/2020,1,0,0,UK,Khyber Pakhtunkhwa,Charsadda
36,3/17/2020,2,0,0,Iran/Taftan,Baluchistan,Quetta
37,3/17/2020,1,0,0,Unknown,Islamabad Capital Territory,Islamabad
38,3/18/2020,2,0,0,Unknown,Islamabad Capital Territory,Islamabad
39,3/18/2020,5,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
40,3/18/2020,31,0,0,Iran/Taftan,Sindh,Sukkur
41,3/18/2020,5,0,0,Local - Social Contact,Sindh,Karachi
42,3/18/2020,10,0,0,Unknown,Gilgit-Baltistan,Gilgit
43,3/18/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
44,3/18/2020,1,1,0,KSA,Khyber Pakhtunkhwa,Mardan 
45,3/18/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Hangu 
46,3/18/2020,1,0,0,Iran/Taftan,Azad Jummu Kashmir,Mirpur
47,3/19/2020,1,0,0,Local - Social Contact,Punjab,Multan
48,3/19/2020,8,0,0,Unknown,Punjab,Lahore
49,3/19/2020,44,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
50,3/19/2020,37,0,1,Local - Social Contact,Sindh,Karachi
51,3/19/2020,53,0,0,Iran/Taftan,Baluchistan,Quetta
52,3/19/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
53,3/19/2020,1,0,0,Local - Covid Relative,Khyber Pakhtunkhwa,Dera Ismail Khan
54,3/19/2020,4,0,0,Unknown,Gilgit-Baltistan,Gilgit
55,3/19/2020,4,0,0,Unknown,Gilgit-Baltistan,Nagar
56,3/20/2020,5,0,0,Unknown,Baluchistan,Quetta
57,3/20/2020,4,1,0,Local - Social Contact,Sindh,Karachi
58,3/20/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra
59,3/20/2020,1,0,0,Unknown,Federal Administration Tribal Area,Khyber
60,3/20/2020,1,0,0,Local - Social Contact,Punjab,Rawalpindi
61,3/20/2020,1,0,0,Local - Social Contact,Punjab,Jehlum
62,3/20/2020,3,0,0,Local - Social Contact,Punjab,Gujrat 
63,3/20/2020,2,0,0,Unknown,Punjab,Lahore
64,3/20/2020,7,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
65,3/20/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar
66,3/20/2020,8,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit
67,3/20/2020,16,0,0,Local - Social Contact,Sindh,Karachi
68,3/21/2020,3,0,0,Unknown,Islamabad Capital Territory,Islamabad
69,3/21/2020,12,0,0,Iran/Taftan,Baluchistan,Quetta
70,3/21/2020,39,0,0,Iran/Taftan,Sindh,Sukkur
71,3/21/2020,0,0,3,Local - Social Contact,Sindh,Karachi
72,3/21/2020,25,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu
73,3/21/2020,6,0,0,Unknown,Punjab,Lahore
74,3/21/2020,38,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
75,3/21/2020,1,0,0,Local - Social Contact,Punjab,Jehlum
76,3/21/2020,4,0,0,Local - Social Contact,Punjab,Gujranwala
77,3/21/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
78,3/21/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
79,3/21/2020,2,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
80,3/21/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Mardan
81,3/21/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Karak
82,3/22/2020,4,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar
83,3/22/2020,18,0,0,Local - Social Contact,Sindh,Karachi
84,3/22/2020,23,0,0,Iran/Taftan,Sindh,Sukkur
85,3/22/2020,1,0,0,Unknown,Islamabad Capital Territory,Islamabad
86,3/22/2020,15,0,0,Unknown,Punjab,Lahore
87,3/22/2020,1,0,0,Local - Social Contact,Punjab,Jehlum
88,3/22/2020,1,0,0,Local - Social Contact,Punjab,Rawalpindi
89,3/22/2020,43,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
